borrower_id,borrower_name,institute_id,institute_name,city,state,nirf_rank,nirf_score,institute_tier,course,applicant_origin,gpa_scale,raw_gpa,normalized_cgpa_10,backlogs,internships,certifications,job_portal_activity,interview_count,placement_cell_index,sector_demand_index,historical_course_placement_rate,loan_amount_lakh,moratorium_days_left,placed_3m,placed_6m,placed_12m,actual_salary_lpa,early_delinquency
B000001,Ananya Loomba,IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,8,71.55,1,btech_cse,indian,10,8.04,8.04,0,2,2,0.831,4,0.548,0.628,0.866,9.4,122,1,1,1,12.92,0
B000002,Komal Iyer,IR-E-U-0584,Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,49,54.17,2,btech_cse,indian,10,6.72,6.72,1,0,3,0.764,2,0.652,0.912,0.827,15.98,175,0,0,1,4.38,1
B000003,Deepak Kumar,IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,46,55.01,2,commerce_arts,indian,10,7.56,7.56,0,0,2,0.46,0,0.628,0.424,0.535,13.2,133,0,0,0,0.0,0
B000004,Kanika Bhindal,IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,4,82.79,1,core_engineering,indian,10,9.86,9.86,0,1,0,0.495,0,0.754,0.378,0.812,22.28,152,1,1,1,10.53,0
B000005,Naresh Dey,IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,60,50.65,2,core_engineering,indian,10,7.65,7.65,0,2,0,0.598,1,0.397,0.419,0.718,21.06,44,0,1,1,5.56,0
B000006,Aarav Lamba,IR-E-C-6379,Netaji Subhas University of Technology,Delhi,Delhi,57,51.52,2,commerce_arts,indian,10,6.98,6.98,1,2,2,0.51,3,0.56,0.507,0.737,23.89,168,0,1,1,5.87,1
B000007,Karan Deshpande,IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,4,82.79,1,btech_cse,indian,10,6.99,6.99,0,0,3,0.714,0,0.728,0.808,0.912,18.48,201,1,1,1,9.14,0
B000008,Gaurav Lakhanpal,IR-E-C-7252,Manipal Institute of Technology,Manipal,Karnataka,56,52.12,2,btech_cse,indian,10,6.58,6.58,0,1,4,0.752,3,0.689,0.749,0.73,14.56,69,1,1,1,5.92,0
B000009,Jatin Dixit,IR-E-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,54,52.54,2,btech_cse,indian,10,7.01,7.01,0,1,0,0.12,2,0.536,0.593,0.891,14.03,129,1,1,1,7.2,0
B000010,Divya Chaurasia,IR-E-C-30045,C V Raman Global University Odisha,Bhubaneswar,Odisha,96,44.55,3,core_engineering,indian,10,6.46,6.46,2,1,1,0.834,0,0.428,0.479,0.546,16.97,215,0,0,0,0.0,1
B000011,Pavitra Namboothiri,IR-E-C-30045,C V Raman Global University Odisha,Bhubaneswar,Odisha,96,44.55,3,btech_cse,indian,4,2.31,5.77,0,0,2,0.346,0,0.44,0.664,0.731,11.5,62,0,0,0,0.0,1
B000012,Ojas Birla,IR-E-C-19754,SR University,Warangal,Telangana,98,44.29,3,mba,indian,10,6.83,6.83,0,0,2,0.854,2,0.503,0.532,0.611,12.63,33,1,1,1,7.21,0
B000013,Manisha Choudhury,IR-E-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,9,66.88,1,commerce_arts,indian,10,8.72,8.72,0,1,0,0.249,1,0.598,0.391,0.617,10.88,49,1,1,1,8.7,1
B000014,Jeet Lamba,IR-E-U-0584,Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,49,54.17,2,mba,indian,4,3.15,7.87,1,1,2,0.577,1,0.538,0.651,0.735,10.7,158,1,1,1,9.89,0
B000015,Nisha Hegde,IR-E-C-19754,SR University,Warangal,Telangana,98,44.29,3,mba,indian,10,6.09,6.09,3,0,3,0.597,0,0.268,0.487,0.752,25.53,206,0,0,0,0.0,0
B000016,Mirza Bhattacharya,IR-E-U-0334,Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,39,57.89,2,btech_cse,indian,10,6.22,6.22,1,1,1,0.798,4,0.505,0.743,0.742,14.61,132,0,1,1,7.88,0
B000017,Bhuvan Loomba,IR-E-U-0622,National Institute of Technology Delhi,Delhi,Delhi,45,55.67,2,btech_cse,indian,10,7.72,7.72,0,3,3,0.771,5,0.534,0.717,0.718,11.37,216,1,1,1,10.74,0
B000018,Aarav Singh,IR-E-U-0072,National Institute of Technology Patna,Patna,Bihar,55,52.28,2,commerce_arts,indian,10,7.24,7.24,0,0,1,0.458,0,0.399,0.564,0.562,9.85,94,0,0,1,2.77,0
B000019,Peeyush Joshi,IR-E-U-0555,Graphic Era University,Dehradun,Uttarakhand,52,52.96,2,mba,indian,10,8.0,8.0,0,0,2,0.424,0,0.417,0.61,0.563,19.8,218,1,1,1,6.64,1
B000020,Peeyush Malik,IR-E-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,43,56.35,2,btech_cse,indian,10,7.33,7.33,1,1,2,0.388,2,0.565,0.894,0.724,14.13,182,0,0,1,4.77,1
B000021,Murali Chaurasia,IR-E-U-0373,Chitkara University,Rajpura,Punjab,94,44.82,3,mba,indian,10,7.34,7.34,0,0,1,0.412,3,0.236,0.658,0.74,12.69,155,0,1,1,6.67,0
B000022,Neha Namboothiri,IR-E-U-0622,National Institute of Technology Delhi,Delhi,Delhi,45,55.67,2,core_engineering,indian,10,7.15,7.15,0,0,2,0.644,2,0.452,0.244,0.728,16.01,153,0,1,1,5.05,0
B000023,Vipul Mishra,IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,2,86.66,1,mba,foreign,4,3.14,7.85,0,4,0,0.554,3,0.854,0.336,0.909,21.29,139,1,1,1,13.32,0
B000024,Pari Bhattacharya,IR-E-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,9,66.88,1,commerce_arts,indian,10,8.88,8.88,0,2,0,0.699,4,0.521,0.381,0.726,14.23,227,1,1,1,9.92,0
B000025,Paras Choudhury,IR-E-U-0564,UPES,Dehradun,Uttarakhand,42,56.65,2,core_engineering,indian,10,7.84,7.84,0,1,1,0.839,4,0.45,0.387,0.617,5.89,57,0,0,1,4.09,0
B000026,Ananya Malik,IR-E-C-19754,SR University,Warangal,Telangana,98,44.29,3,mba,indian,10,7.23,7.23,0,0,0,0.564,3,0.354,0.753,0.719,7.62,159,0,1,1,4.97,0
B000027,Nandini Dutta,IR-E-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,54,52.54,2,mba,indian,4,2.73,6.83,0,1,3,0.468,0,0.629,0.48,0.583,20.05,166,0,1,1,10.21,0
